Data of census 2001 of Pune Municipal Corporation Published by CENSUS OF INDIA ,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Area of town/ward in  -243.049.sq km,Column22,Column23
Name of Town/Ward,No of House Holds,Total Population (includin instituional) and Houseless Population,,,Scheduled Castes,,,Schedules Tribes,,,Literates,,,illiterates,,,Total Population in the age group (0-6),,,Ward office name,Ward Name in English,Ward Name in Marathi,
,,Population,Male,Female,Population,Male,Female,Population,Male,Female,Population,Male,Female,Population,Male,Female,Population,Male,Female,,,,
Ward No.95,3564,14675,6959,7716,110,49,61,22,15,7,12885,6251,6634,1790,708,1082,1008,500,508,Gholeroad,Deccan Jimkhana,Gholeroad,डेक्‍कन जिमखाना,
Ward No.96,2605,13414,7003,6411,1422,695,727,203,102,101,10418,5797,4621,2996,1206,1790,1449,780,669,Gholeroad,PatrakarNagar,Gholerod,पत्रकारनगर घोलेरोड.,
Ward No.97,2667,13889,7600,6289,503,262,241,112,59,53,11163,6574,4589,2726,1026,1700,1204,611,593,Gholeroad,B.M.C.C,Gholeroad,बृहन महाराष्ट्र कॉ. कॉलेज, घोलेरोड,
Ward No.98,1864,9837,5002,4835,2792,1353,1439,32,15,17,6055,3503,2552,3782,1499,2283,1339,678,661,Gholeroad,Vadarvadi,Gholeroad,वडारवाडी. घोलेरोड,
 Ward No.99,3697,16920,8762,8158,1073,555,518,197,95,102,12119,6879,5240,4801,1883,2918,1866,959,907,Gholeroad,Model Colony,Gholeraod,मॉडेल कॉलनी.घोलेरोड,
 Ward No.100,2377,11375,6148,5227,706,376,330,163,94,69,9863,5528,4335,1512,620,892,812,430,382,Gholeroad,JagaliMaharaj Road,Gholeroad,जंगली महाराज रोड. घोलेरोड,
Ward No.101,2802,14243,7393,6850,2717,1341,1376,106,57,49,9647,5559,4088,4596,1834,2762,1742,899,843,Gholeroad,Engginering Collage,Gholeroad,इंजिनिअरींग कॉलेज.घोलेरोड,
Ward No.102,2694,14278,7626,6652,4546,2300,2246,71,38,33,8924,5217,3707,5354,2409,2945,1914,990,924,Kasba,Shivji Stedium,Kasba,शिवाजी स्टेडियम.कसबा,
 Ward No.103,2396,12586,6337,6249,995,494,501,114,64,50,9624,5143,4481,2962,1194,1768,1419,750,669,Kasba,Kasvba Pamping Station ,Kasba,कसबा पंपिंग स्टेशन. कसबा,
Ward No.104,2362,10809,5370,5439,309,156,153,57,24,33,9323,4771,4552,1486,599,887,946,496,450,Kasba,Kamla Neheru Hospital,Kasba,कमला नेहरू हॉस्पिटल. कसबा,
 Ward No.105,2202,9845,4996,4849,5,3,2,45,21,24,8468,4464,4004,1377,532,845,834,462,372,Kasba,Gaokos Maruti,Kasba,गावकोस मारूती.कसबा,
 Ward No.106,2122,10623,5382,5241,338,166,172,124,63,61,8633,4587,4046,1990,795,1195,1023,527,496,Kasba,Ganeshpeth,Gurudwar,Kasba,गणेश पेठ गुरूव्दार.कसबा,
Ward No.107,1927,11032,5652,5380,175,87,88,17,9,8,8758,4762,3996,2274,890,1384,1222,603,619,Kasba,Someshwar Mandir,Kasba,सोमेश्वर मंदीर.कसबा,
Ward No.108,1930,10159,5205,4954,962,492,470,50,28,22,8106,4460,3646,2053,745,1308,1045,531,514,Bhavanipeth,Burud Brij,Bhavanipeth,बुरूड ब्रिज.भवानी पेठ,
 Ward No.109,2166,11689,5918,5771,3953,1932,2021,25,13,12,8085,4545,3540,3604,1373,2231,1449,732,717,Bhavanipeth,Samata Bhumi,Bhavanipeth,समता भूमी, भवानी पेठ,
Ward No.110,2311,13334,6760,6574,2287,1121,1166,64,29,35,10279,5594,4685,3055,1166,1889,1515,789,726,Tilakroad,Mahatma Gandhi Vidhyalaya ,Tilakroad,महात्मा गांधी विद्यालय, टिळक रोड,
Ward No.111,2282,12700,6358,6342,628,339,289,57,32,25,10296,5359,4937,2404,999,1405,1393,751,642,Tilakroad,Panchhoud mission,Tilakroad,पंचहौद मिशन.टिळक रोड,
Ward No.112,2299,11631,5838,5793,208,98,110,131,65,66,9700,5106,4594,1931,732,1199,1086,564,522,Vishrambaug,Shivaji Maratha Highschool,Vishrambaugwada,शिवाजी मराठा हायस्कूल, विश्रामबागवाडा,
Ward No.113,2061,10261,5207,5054,62,29,33,27,11,16,8665,4560,4105,1596,647,949,946,513,433,Vishrambaug,Jain Mandir ,Vishrambaugwada,जैन मंदीर, विश्रामबागवाडा,
Ward No.114,1984,10567,5448,5119,287,140,147,50,32,18,8785,4752,4033,1782,696,1086,988,519,469,Vishrambaug,Dr.Kotnis davakhana,Vishrambaugwada,डॉ. कोटणीस द.विश्रामबागवाडा,
Ward No.115,3108,13516,6834,6682,192,96,96,16,8,8,11947,6212,5735,1569,622,947,977,531,446,Vishrambaug,Raja kelkar Sangrahlya Vishrambaugwada,राजा केळकर सं,विश्रामबागवाडा,
